,startTime,stopTime,whichEye
0,0.295,0.349,R
0,0.295,0.349,L
1,0.774,0.896,L
1,0.774,0.896,R
2,2.655,3.351,R
2,2.655,3.351,L
3,3.391,3.564,L
3,3.391,3.564,R
4,11.456,11.615,L
4,11.456,11.615,R
5,12.902,13.087,R
5,12.902,13.087,L
6,13.313,13.765,L
6,13.313,13.765,R
7,14.826,14.998,R
7,14.826,14.998,L
8,19.283,19.474,R
8,19.283,19.474,L
9,22.676,22.895,L
9,22.676,22.895,R
10,27.952,28.123,R
10,27.952,28.123,L
11,30.177,30.335,L
11,30.177,30.335,R
12,33.07,33.258,R
12,33.07,33.258,L
13,33.629,34.387,L
13,33.629,34.387,R
14,39.437,39.629,L
14,39.437,39.629,R
15,42.429,42.551,R
15,42.429,42.551,L
16,44.815,46.921,R
16,44.815,46.921,L
17,47.507,47.873,L
17,47.507,47.873,R
18,49.635,51.21,R
18,49.635,51.21,L
19,51.696,51.816,L
19,51.696,51.816,R
20,53.252,53.331,R
20,53.252,53.331,L
21,53.633,54.122,L
21,53.633,54.122,R
22,56.369,56.513,R
22,56.369,56.513,L
23,57.987,58.35,L
23,57.987,58.35,R
24,59.68,60.682,R
24,59.68,60.682,L
25,61.036,61.186,L
25,61.036,61.186,R
26,62.514,62.647,R
26,62.514,62.647,L
27,66.092,66.45,L
27,66.092,66.45,R
28,68.073,68.224,R
28,68.073,68.224,L
29,69.88,70.235,R
29,69.88,70.235,L
30,70.624,70.828,L
30,70.624,70.828,R
31,71.237,71.276,R
31,71.237,71.276,L
32,74.449,74.595,R
32,74.449,74.595,L
33,75.702,75.854,L
33,75.702,75.854,R
34,76.078,77.678,R
34,76.078,77.678,L
35,79.134,79.293,L
35,79.134,79.293,R
36,83.629,83.769,R
36,83.629,83.769,L
37,87.814,87.968,L
37,87.814,87.968,R
38,90.804,91.206,R
38,90.804,91.206,L
39,93.558,93.715,L
39,93.558,93.715,R
40,99.337,99.54,R
40,99.337,99.54,L
41,102.576,102.712,L
41,102.576,102.712,R
42,110.926,111.06,R
42,110.926,111.06,L
43,113.453,113.635,L
43,113.453,113.635,R
44,124.102,124.228,L
44,124.102,124.228,R
45,124.282,124.528,R
45,124.282,124.528,L
46,132.259,132.448,R
46,132.259,132.448,L
47,133.825,134.005,L
47,133.825,134.005,R
48,142.529,142.672,R
48,142.529,142.672,L
49,145.302,145.596,L
49,145.302,145.596,R
50,155.346,155.441,R
50,155.346,155.441,L
51,156.992,157.114,L
51,156.992,157.114,R
