trialIndex,blockId,arrowDirection,latency,blankDuration,fixationDurationInSec,response,result,blankDurationInFrameCount
1,pract,R,,,0.357,,,100.0
2,pract,L,,,0.281,,,110.0
3,pract,R,,,0.355,,,120.0
4,pract,L,,,0.214,,,130.0
5,pract,R,,,0.297,,,140.0
6,pract,L,,,0.275,,,150.0
7,pract,L,,,0.388,,,160.0
8,pract,R,,,0.304,,,150.0
9,pract,L,,,0.298,,,140.0
10,pract,R,,,0.342,,,130.0
11,pract,R,,,0.26,,,120.0
12,pract,R,,,0.311,,,110.0
13,pract,R,,,0.376,,,120.0
14,pract,R,,,0.231,,,110.0
15,pract,R,,,0.393,,,100.0
16,pract,L,,,0.324,,,90.0
17,pract,L,,,0.355,,,80.0
18,pract,R,,,0.214,,,70.0
19,pract,L,,,0.242,,,60.0
20,pract,R,,,0.271,,,50.0
21,pract,L,,,0.271,,,40.0
22,pract,L,,,0.241,,,30.0
23,pract,R,,,0.292,,,20.0
24,pract,R,,,0.352,,,15.0
25,pract,L,,,0.325,,,10.0
