trialIndex,blockId,arrowDirection,latency,blankDuration,fixationDurationInSec,response,result,isSaccade,blankDurationInFrameCount
0,0,L,400,,0.313,invalid,invalid,True,110.0
1,0,L,100,,0.222,invalid,invalid,True,110.0
2,0,L,0,,0.359,LeftResponse,correct,True,110.0
3,0,R,0,,0.214,invalid,invalid,True,109.0
4,0,L,200,,0.364,LeftResponse,correct,True,110.0
5,0,R,200,,0.38,RightResponse,correct,False,109.0
6,0,R,50,,0.259,RightResponse,correct,True,110.0
7,0,R,100,,0.236,RightResponse,correct,False,110.0
8,0,R,200,,0.389,RightResponse,correct,True,109.0
9,0,L,0,,0.207,LeftResponse,correct,False,109.0
10,0,R,200,,0.378,RightResponse,correct,True,108.0
11,0,R,400,,0.229,invalid,invalid,True,110.0
12,0,L,100,,0.36,LeftResponse,correct,True,110.0
13,0,L,50,,0.224,invalid,invalid,True,109.0
14,0,R,100,,0.383,RightResponse,correct,True,109.0
15,0,L,50,,0.386,LeftResponse,correct,True,109.0
16,0,R,50,,0.308,RightResponse,correct,True,108.0
17,0,L,400,,0.21,LeftResponse,correct,True,110.0
18,0,R,100,,0.269,RightResponse,correct,True,108.0
19,0,R,100,,0.397,NoResponse,incorrect,True,107.0
20,0,L,100,,0.39,invalid,invalid,True,110.0
21,0,R,200,,0.378,RightResponse,correct,True,107.0
22,0,R,50,,0.323,invalid,invalid,True,107.0
23,0,R,50,,0.313,RightResponse,correct,False,107.0
24,0,L,0,,0.277,invalid,invalid,True,109.0
25,0,L,400,,0.204,LeftResponse,correct,True,109.0
26,0,L,50,,0.285,LeftResponse,correct,True,107.0
27,0,L,400,,0.27,LeftResponse,correct,True,108.0
28,0,R,0,,0.228,RightResponse,correct,True,109.0
29,0,L,100,,0.257,LeftResponse,correct,True,110.0
30,0,R,400,,0.206,invalid,invalid,True,107.0
31,0,R,400,,0.273,RightResponse,correct,True,107.0
32,0,R,0,,0.246,RightResponse,correct,True,108.0
33,0,L,50,,0.31,LeftResponse,correct,True,106.0
34,0,R,0,,0.348,RightResponse,correct,True,107.0
35,0,L,200,,0.366,LeftResponse,correct,True,106.0
36,0,L,200,,0.28,invalid,invalid,True,105.0
37,0,L,200,,0.321,LeftResponse,correct,True,105.0
38,0,L,0,,0.32,LeftResponse,correct,True,106.0
39,0,R,400,,0.245,invalid,invalid,True,106.0
40,1,L,200,,0.204,LeftResponse,correct,True,104.0
41,1,L,100,,0.233,invalid,invalid,True,109.0
42,1,R,400,,0.273,RightResponse,correct,True,106.0
43,1,L,400,,0.297,LeftResponse,correct,False,105.0
44,1,L,100,,0.392,invalid,invalid,True,109.0
45,1,R,50,,0.307,invalid,invalid,True,105.0
46,1,L,100,,0.218,LeftResponse,correct,True,109.0
47,1,L,0,,0.37,LeftResponse,correct,False,105.0
48,1,R,50,,0.335,RightResponse,correct,False,105.0
49,1,L,400,,0.256,LeftResponse,correct,True,105.0
50,1,R,0,,0.363,RightResponse,correct,True,105.0
51,1,L,50,,0.376,LeftResponse,correct,True,105.0
52,1,L,400,,0.247,LeftResponse,correct,True,104.0
53,1,R,0,,0.398,RightResponse,correct,True,104.0
54,1,R,400,,0.339,RightResponse,correct,True,103.0
55,1,R,50,,0.229,invalid,invalid,True,104.0
56,1,L,200,,0.336,LeftResponse,correct,True,103.0
57,1,R,50,,0.322,RightResponse,correct,False,104.0
58,1,R,0,,0.207,invalid,invalid,True,103.0
59,1,R,200,,0.222,RightResponse,correct,True,102.0
60,1,R,400,,0.365,RightResponse,correct,True,102.0
61,1,R,200,,0.292,invalid,invalid,True,101.0
62,1,L,100,,0.3,LeftResponse,correct,True,108.0
63,1,L,200,,0.301,LeftResponse,correct,False,101.0
64,1,R,200,,0.21,invalid,invalid,True,101.0
65,1,L,50,,0.287,LeftResponse,correct,True,104.0
66,1,L,0,,0.27,LeftResponse,correct,True,103.0
67,1,R,200,,0.206,RightResponse,correct,True,101.0
68,1,R,100,,0.239,RightResponse,correct,True,107.0
69,1,L,50,,0.284,invalid,invalid,True,103.0
70,1,R,100,,0.327,RightResponse,correct,True,106.0
71,1,R,400,,0.315,RightResponse,correct,True,101.0
72,1,R,100,,0.218,RightResponse,correct,True,105.0
73,1,L,400,,0.281,LeftResponse,correct,True,100.0
74,1,R,0,,0.338,RightResponse,correct,True,102.0
75,1,R,100,,0.368,RightResponse,correct,True,104.0
76,1,L,50,,0.358,invalid,invalid,True,103.0
77,1,L,0,,0.33,LeftResponse,correct,False,101.0
78,1,L,0,,0.344,LeftResponse,correct,False,101.0
79,1,L,200,,0.364,invalid,invalid,True,100.0
80,2,L,100,,0.245,invalid,invalid,True,103.0
81,2,L,100,,0.315,LeftResponse,correct,True,103.0
82,2,L,400,,0.38,LeftResponse,correct,True,99.0
83,2,L,400,,0.252,LeftResponse,correct,True,98.0
84,2,R,200,,0.393,,,,100.0
85,2,L,50,,0.286,,,,
86,2,L,200,,0.273,,,,
87,2,L,100,,0.342,,,,
88,2,R,0,,0.34,,,,
89,2,L,50,,0.365,,,,
90,2,R,200,,0.387,,,,
91,2,L,50,,0.252,,,,
92,2,R,100,,0.343,,,,
93,2,L,0,,0.357,,,,
94,2,L,0,,0.357,,,,
95,2,L,200,,0.227,,,,
96,2,R,50,,0.26,,,,
97,2,R,200,,0.296,,,,
98,2,R,0,,0.358,,,,
99,2,R,0,,0.271,,,,
100,2,L,200,,0.309,,,,
101,2,L,0,,0.33,,,,
102,2,R,50,,0.279,,,,
103,2,R,400,,0.31,,,,
104,2,L,200,,0.242,,,,
105,2,R,200,,0.368,,,,
106,2,R,100,,0.351,,,,
107,2,R,100,,0.305,,,,
108,2,L,400,,0.364,,,,
109,2,R,400,,0.389,,,,
110,2,R,50,,0.354,,,,
111,2,R,400,,0.366,,,,
112,2,R,50,,0.358,,,,
113,2,L,0,,0.205,,,,
114,2,R,0,,0.298,,,,
115,2,L,50,,0.237,,,,
116,2,R,400,,0.36,,,,
117,2,L,100,,0.372,,,,
118,2,R,100,,0.263,,,,
119,2,L,400,,0.244,,,,
120,3,R,100,,0.305,,,,
121,3,L,100,,0.237,,,,
122,3,R,400,,0.241,,,,
123,3,R,100,,0.337,,,,
124,3,L,0,,0.333,,,,
125,3,L,0,,0.316,,,,
126,3,R,50,,0.25,,,,
127,3,L,100,,0.345,,,,
128,3,R,400,,0.37,,,,
129,3,R,100,,0.21,,,,
130,3,L,400,,0.351,,,,
131,3,R,200,,0.348,,,,
132,3,R,200,,0.317,,,,
133,3,R,200,,0.264,,,,
134,3,L,50,,0.255,,,,
135,3,L,100,,0.239,,,,
136,3,L,400,,0.368,,,,
137,3,L,200,,0.211,,,,
